"active_ingredient","dosage_form","strength","subsidy_class","clinical_indication"
"Iron (as Sucrose)","Injection","100 mg/5 mL","SDL",""
"Isoniazid","Tablet","100 mg, 300 mg","SDL",""
"Isoprenaline Hydrochloride","Injection","0.2 mg/mL","SDL",""
"Isosorbide Dinitrate","Tablet","10 mg","SDL",""
"Isosorbide Mononitrate","Sustained-release tablet","60 mg","SDL",""
"Itraconazole","Capsule","100 mg","SDL",""
"Itraconazole","Oral solution","10 mg/mL","MAF","For prophylaxis of invasive fungal infections in high risk patients (such as anticipated to have prolonged neutropenia) and haematopoietic stem cell transplant recipients"
"Ivabradine","Tablet","5 mg, 7.5 mg","MAF","Treatment of chronic heart failure in patients with New York Heart Association (NYHA) class II to IV stable chronic heart failure with systolic dysfunction (LVEF of 35% or less), and who are in sinus rhythm with a heart rate of 75 bpm or more, and who are given concomitant standard medical management including the maximum tolerated dose of beta-blocker therapy, angiotensin converting enzyme inhibitors and aldosterone antagonists, unless contraindicated or not tolerated"
"Ixazomib","Capsule","3 mg, 4 mg","MAF","Ixazomib in combination with lenalidomide and dexamethasone for the treatment of patients with relapsed and/or refractory multiple myeloma who have received at least one prior therapy."
"Ixekizumab (Taltz)","Injection, prefilled pen","80 mg/mL","MAF","Additional clinical criteria applies

1) Treatment of adult patients with ankylosing spondylitis

2) Treatment of adult patients with psoriatic arthritis with axial involvement

3) Treatment of adult patients with psoriatic arthritis with peripheral involvement

4) Treatment of adult patients with chronic plaque psoriasis"
"Kanamycin","Injection","1 g","SDL",""
"Kaolin, Magnesium Carbonate (light) & Sodium Bicarbonate","Oral suspension","Kaolin 20% + Magnesium Carbonate (light) 5% + Sodium Bicarbonate 5%","SDL",""
"Ketamine","Injection","100 mg/2 mL, 500 mg/10 mL","SDL",""
"Ketoprofen","Enteric-coated tablet","100 mg","SDL",""
"Ketoprofen","Gel","2.50%","SDL",""
"L-Arginine","Capsule","500 mg","MAF","1) Treatment of mitochondrial diseases including MELAS (Mitochondrial Encephalopathy, Lactic Acidosis, Stroke-like episodes)

2) Treatment of urea cycle defects"
"L-Arginine","Injection","4.2 g/20 mL, 5 g/10 mL","MAF","1) Treatment of mitochondrial diseases including MELAS (Mitochondrial Encephalopathy, Lactic Acidosis, Stroke-like episodes)

2) Treatment of urea cycle defects"
"L-Arginine","Tablet","500 mg, 1 g","MAF","1) Treatment of mitochondrial diseases including MELAS (Mitochondrial Encephalopathy, Lactic Acidosis, Stroke-like episodes)

2) Treatment of urea cycle defects"
"L-Citrulline","Capsule","750 mg","MAF","1) Treatment of hyperammonemia secondary to urea cycle disorders (proximal urea cycle defect, ornithine transcarbamylase deficiency or carbamoyl phosphate synthetase deficiency).

2) Acute treatment of mitochondrial diseases including MELAS (Mitochondrial Encephalopathy, Lactic Acidosis, Stroke-like episodes)"
"L-Citrulline","Powder","5 g","MAF","1) Treatment of hyperammonemia secondary to urea cycle disorders (proximal urea cycle defect, ornithine transcarbamylase deficiency or carbamoyl phosphate synthetase deficiency).

2) Acute treatment of mitochondrial diseases including MELAS (Mitochondrial Encephalopathy, Lactic Acidosis, Stroke-like episodes)"
"L-Isoleucine","Powder","100 mg/1.5 g","MAF","Treatment of Maple Syrup Urine Disease"
"L-Valine","Powder ","100 mg/1.5 g","MAF","Treatment of Maple Syrup Urine Disease"
"Lactulose","Syrup","3.3 g/5 mL, 3.35 g/5 mL","SDL",""
"Lamivudine","Tablet","100 mg, 150 mg","SDL",""
"Lamotrigine","Dispersible tablet","5 mg","SDL",""
"Lamotrigine","Tablet","50 mg, 100 mg","SDL",""
"Land Snakes Antivenom","Concentrate for infusion","-","SDL",""
"Lanreotide","Prolonged release injection","60 mg, 90 mg, 120 mg","MAF","1) For the reduction of symptoms associated with carcinoid syndrome.

2) For the improvement of symptoms associated with acromegaly.

3) Treatment of acromegaly in patients with abnormal levels of Growth Hormone (GH) and/or Insulin-like Growth Factor-1 (IGF-1) after surgery and/or radiotherapy or in patients who require medical treatment. 

4) Treatment of neuroendocrine tumours of gastrointestinal or pancreatic origin."
"Lapatinib","Tablet","250 mg","MAF","1) Lapatinib in combination with an aromatase inhibitor for postmenopausal women with HR-positive, HER2-positive metastatic breast cancer.

2) Lapatinib in combination with capecitabine for HER2-positive, advanced or metastatic breast cancer in patients whose disease has progressed after treatment with an anthracycline and, a taxane, and on prior trastuzumab therapy in the metastatic setting."
"Latanoprost","Eye drops","0.01%","SDL",""
"Latanoprost & Timolol","Eye drops 0.005% +
 Timolol 0.50%","Latanoprost","SDL",""
"Leflunomide","Tablet","20 mg","SDL",""
"Lenalidomide ","Capsule","5 mg, 10 mg, 15 mg, 25 mg","SDL",""
"Lenvatinib","Capsule","4 mg, 10 mg","MAF","1) Treatment of advanced unresectable hepatocellular carcinoma in patients with adequate liver function as assessed by the Child-Pugh scoring system, when used according to HSA-recommended dosing regimens.

2) Treatment of locally advanced or metastatic, progressive, radioactive iodine-refractory differentiated thyroid cancer."
"Letrozole","Tablet","2.5 mg","SDL",""
"Leuprorelin Acetate","Depot injection","3.75 mg, 11.25 mg 30 mg","MAF","For cancer treatment"
"Leuprorelin Acetate","Powder and solvent for solution for injection","7.5 mg, 22.5 mg, 45 mg","MAF","For cancer treatment"
"Levetiracetam","Concentrate for infusion","100 mg/mL","SDL",""
"Levetiracetam","Oral solution","100 mg/mL","SDL",""
"Levetiracetam","Tablet","250 mg, 500 mg, 1 g","SDL",""
"Levocarnitine","Capsule","500 mg","MAF","Prevention of primary and secondary carnitine deficiency due to detoxification"
"Levocarnitine","Injection ","1 g/5 mL","MAF","Prevention of primary and secondary carnitine deficiency due to detoxification"
"Levocarnitine","Oral solution","500 mg/10 mL","MAF","Prevention of primary and secondary carnitine deficiency due to detoxification"
"Levodopa & Benserazide","Capsule","Levodopa 100 mg + Benserazide 25 mg","SDL",""
"Levodopa & Benserazide","Tablet","Levodopa 200 mg + Benserazide 50 mg","SDL",""
"Levodopa & Benserazide","Controlled-release capsule","Levodopa 100 mg + Benserazide 25 mg","SDL",""
"Levodopa & Carbidopa","Tablet","Levodopa 100 mg + Carbidopa 25 mg, Levodopa 250 mg + Carbidopa 25 mg","SDL",""
"Levodopa & Carbidopa","Sustained-release tablet","Levodopa 200 mg + Carbidopa 50 mg","SDL",""
"Levodopa, Carbidopa & Entacapone","Tablet","Levodopa 50 mg + Carbidopa 12.5 mg + Entacapone 200 mg, Levodopa 100 mg + Carbidopa 25 mg + Entacapone 200 mg, Levodopa 150 mg + Carbidopa 37.5 mg + Entacapone 200 mg, Levodopa 200 mg + Carbidopa 50 mg + Entacapone 200 mg","SDL",""
"Levonorgestrel & Ethinylestradiol","Tablet","Levonorgestrel 0.15 mg + Ethinylestradiol 0.03 mg","SDL",""
"Levothyroxine Sodium","Tablet","25 mcg, 50 mcg, 75 mcg, 100 mcg","SDL",""
"Lidocaine","Ointment","5%","SDL",""
"Lidocaine","Topical solution","4%","SDL",""
"Lidocaine","Topical spray","10%","SDL",""
"Lidocaine & Adrenaline","Injection","Lidocaine 2% + Adrenaline 1:80,000 (12.5 microgram/mL)","SDL",""
"Lidocaine & Prilocaine","Cream","Lidocaine 2.5% + Prilocaine 2.5%","SDL",""
"Lidocaine Hydrochloride","Gel","2%","SDL",""
"Lidocaine Hydrochloride","Injection","1%","SDL",""
"Lidocaine Hydrochloride","Oral solution (viscous)","2%","SDL",""
"Lidocaine Hydrochloride","Injection (preservative-free)","1%, 2%","SDL",""
"Lidocaine Hydrochloride","Solution for injection in pre-filled syringe ","100 mg/ 10 mL, 200 mg/ 10mL","SDL",""
"Linagliptin","Tablet","5 mg","MAF","For patients with type 2 diabetes mellitus and chronic kidney disease stages 3b, 4 or 5"
"Linezolid","Infusion","600 mg/300 mL","SDL",""
"Linezolid","Tablet","600 mg","SDL",""
"Liothyronine","Tablet","20 mcg","SDL",""
"Liquid Paraffin","Oral emulsion","2.5 mL/5 mL","SDL",""
"Liquid Paraffin","Liquid","-","SDL",""
"Lisinopril","Tablet","5 mg, 10 mg, 20 mg","SDL",""
"Lithium Carbonate","Controlled-release tablet","400 mg","SDL",""
"Lomustine","Capsule","10 mg, 40 mg","SDL",""
"Lopinavir & Ritonavir","Oral solution","Lopinavir 80 mg/mL + Ritonavir 20 mg/mL","SDL",""
"Lopinavir & Ritonavir","Tablet","Lopinavir 200 mg + Ritonavir 50 mg","SDL",""
"Loratadine","Syrup","5 mg/5 mL","SDL",""
"Loratadine","Tablet","10 mg","SDL",""
"Lorazepam","Tablet","0.5 mg, 1 mg","SDL",""
"Lorlatinib","Tablet","25 mg, 100 mg","MAF","Treatment of locally advanced or metastatic ALK mutation-positive non-small-cell lung cancer."
"Losartan Potassium","Tablet","50 mg, 100 mg","SDL",""
"Losartan Potassium & Hydrochlorothiazide","Tablet","Losartan 50 mg + Hydrochlorothiazide 12.5 mg, Losartan 100 mg + Hydrochlorothiazide 25 mg ","SDL",""
"Lovastatin","Tablet","20 mg","SDL",""
"Magnesium Carbonate & Sodium Bicarbonate","Oral suspension","Magnesium Carbonate 150 mg/5 mL + Sodium Bicarbonate 250 mg/5 mL + Aromatic Cardamom Tincture 0.15 mL/5 mL","SDL",""
"Magnesium Chloride Hexahydrate, Potassium Chloride & Procaine Hydrochloride","Concentrate for infusion","Magnesium Chloride Hexahydrate 162.5 mg/mL (0.8 mmol/mL) + Potassium Chloride 59.5 mg/mL (0.8 mmol/mL) + Procaine Hydrochloride 13.64 mg/mL (0.05 mmol/mL)","SDL",""
"Magnesium Sulfate","Injection","49.3%, 50%","SDL",""
"Magnesium Sulfate & Glycerin","Syrup","Magnesium Sulfate 35.4% + Glycerin 1.1%","SDL",""
"Magnesium Trisilicate","Oral suspension","Magnesium Trisilicate 5% + Magnesium Carbonate 5% + Sodium Bicarbonate 5%","SDL",""
"Malathion","Lotion","0.50%","SDL",""
"Mannitol","Injection","20%","SDL",""
"Mannitol & Sorbitol","Injection","Mannitol 17.5 g/100 mL + Sorbitol 2.5 g/100 mL","SDL",""
"Mavacamten","Capsule","2.5 mg, 5 mg, 10 mg, 15 mg","MAF","Treatment of obstructive hypertrophic cardiomyopathy in patients with New York Heart Association (NYHA) class II-III, peak left ventricular outflow tract (LVOT) gradient ≥50 mmHg (at rest or with provocation), and left ventricular ejection fraction (LVEF) ≥55%.
The patient must have had inadequate response to prior trials of (i) a beta-blocker (BB) and (ii) a non-dihydropyridine calcium channel blocker (CCB), unless these are contraindicated or not tolerated.

Mavacamten must be used as an add-on to optimised standard care including a BB and/or a CCB, unless contraindicated or not tolerated.

For continuation of treatment, the patient must have demonstrated a response after receiving the optimal dose of mavacamten for at least 4-6 months, defined as an improvement in at least one of the following: (i) NYHA class, (ii) exercise capacity, or (iii) peak LVOT gradient."
"Mebeverine Hydrochloride","Tablet","135 mg","SDL",""
"Medroxyprogesterone Acetate","Injection","50 mg/mL","SDL",""
"Medroxyprogesterone Acetate","Tablet","5 mg, 10 mg","SDL",""
"Mefenamic Acid","Capsule","250 mg","SDL",""
"Mefloquine","Tablet","250 mg","SDL",""
"Megestrol","Tablet","40 mg, 160 mg","SDL",""
"Melphalan","Injection","50 mg","SDL",""
"Melphalan","Tablet","2 mg","SDL",""
"Memantine","Tablet","10 mg","SDL",""
"Mercaptopurine","Tablet","50 mg","SDL",""
"Meropenem","Injection","500 mg, 1 g","SDL",""
"Mesalazine","Enema","2 g/30 mL","SDL",""
"Mesalazine","Enteric-coated tablet","500 mg, 800 mg","SDL",""
"Mesalazine","Prolonged-release granules","2 g","SDL",""
"Mesalazine","Gastro-resistant 
prolonged-release 
granules","1.5 g, 3 g","SDL",""
"Mesalazine","Prolonged-release tablet","500 mg, 1 g","SDL",""
"Mesalazine","Suppository","500 mg, 1 g","SDL",""
"Mesna","Injection","100 mg/mL","SDL",""
"Mesna","Tablet","400 mg, 600 mg","SDL",""
"Metformin Hydrochloride","Tablet","250 mg, 500 mg, 850 mg","SDL",""
"Methadone","Tablet","5 mg","SDL",""
"Methionine","Oral powder","-","SDL",""
"Methotrexate","Injection (preservative-free)","50 mg/2 mL, 1 g/10 mL","SDL",""
"Methotrexate","Tablet","2.5 mg","SDL",""
"Methoxsalen","Lotion","0.01%, 0.05%, 0.1%, 0.75%","SDL",""
"Methoxsalen","Tablet","10 mg","SDL",""
"Methoxy polyethylene glycol-epoetin beta (Mircera)","Prefilled syringe","50 mcg/0.3 mL, 75 mcg/0.3 mL, 100 mcg/0.3 mL","SDL",""
"Methyl Salicylate","Cream","10%-20%","SDL",""
"Methyl Salicylate","Liniment","25%","SDL",""
"Methylated Spirit","Topical solution","70%","SDL",""
"Methyldopa","Tablet","250 mg","SDL",""
"Methylphenidate Hydrochloride","Extended-release tablet","18 mg, 27 mg, 36 mg, 54 mg","MAF","Attention deficit hyperactivity disorder in children and adolescents aged < 18 years old"
"Methylphenidate Hydrochloride","Long-acting capsule","20 mg","MAF","Attention deficit hyperactivity disorder in children and adolescents aged < 18 years old"
"Methylphenidate Hydrochloride (Medikinet)","Modified-release capsule","5 mg, 10 mg, 20 mg, 30 mg, 40 mg","SDL",""
"Methylphenidate Hydrochloride","Tablet","10 mg","SDL",""
"Methylprednisolone (as Sodium Succinate)","Injection","62.5 mg/mL","SDL",""
"Metoclopramide Hydrochloride","Injection","5mg/mL","SDL",""
"Metoclopramide Hydrochloride","Tablet","10 mg","SDL",""
"Metronidazole","Infusion","5 mg/mL","SDL",""
"Metronidazole","Tablet","200 mg","SDL",""
"Miconazole","Oral gel","2%","SDL",""
"Miconazole Nitrate","Cream","2%","SDL",""
"Midazolam","Injection","5 mg/mL, 5 mg/5 mL","SDL",""
"Midodrine Hydrochloride","Tablet","5 mg","SDL",""
"Midostaurin","Capsule","25 mg","MAF","Treatment of FLT-3-mutation positive acute myeloid leukaemia (AML) in combination with standard intensive induction and consolidation chemotherapy. Standard induction chemotherapy must include cytarabine and an anthracycline. 

Midostaurin is not recommended for maintenance therapy."
"Mirtazapine","Oral disintegrating tablet","15 mg, 30 mg","SDL",""
"Mirtazapine","Tablet","30 mg","SDL",""
"Mitomycin","Injection","2 mg, 10 mg","SDL",""
"Mitoxantrone","Injection","20 mg/10 mL","SDL",""
"Moclobemide","Tablet","150 mg","SDL",""
"Momelotinib","Tablet","100 mg, 150 mg, 200 mg","MAF","For the treatment of disease-related splenomegaly or symptoms in patients with moderate to severe anaemia who have intermediate- or high-risk myelofibrosis, including primary myelofibrosis, post-polycythaemia vera myelofibrosis, or post-essential thrombocythaemia myelofibrosis, and who are Janus Kinase inhibitor (JAKi)-naive or JAKi-experienced."
"Mometasone Furoate","Nasal spray","0.05%","SDL",""
"Montelukast","Tablet","10 mg","SDL",""
"Morphine Sulfate","Controlled-release tablet","10 mg, 30 mg","SDL",""
"Morphine Sulfate","Injection","10 mg/mL","SDL",""
"Morphine","Oral solution","1 mg/mL","SDL",""
"Morphine","Syrup","2 mg/mL","SDL",""
"Multivitamin for Paediatrics","Oral solution","A combination preparation of vitamins, minerals and/or nutrients, which includes at least 3 of the following: Ascorbic acid, Riboflavine, Nicotinamide, Thiamine, Pyridoxine, Calciferol, Cyanocobalamin, Vitamin A","SDL",""
"Mycophenolate Mofetil","Capsule","250 mg","SDL",""
"Mycophenolate Mofetil","Infusion","500 mg","SDL",""
"Mycophenolate Mofetil","Tablet","500 mg","SDL",""
"Mycophenolate Mofetil","Oral suspension","1000 mg/5 mL","SDL",""
"Mycophenolate Sodium","Enteric-coated Tablet","180 mg, 360 mg","MAF","Prevention of organ rejection in patients who have received a kidney transplant and are unable to tolerate mycophenolate mofetil due to gastrointestinal adverse effects"
"Naloxone Hydrochloride","Injection","0.4 mg/mL","SDL",""
"Nandrolone Decanoate","Injection","25 mg/mL","SDL",""
"Naphazoline Hydrochloride & Pheniramine Maleate","Eye drops","Naphazoline Hydrochloride 0.025% + Pheniramine Maleate 0.3%","SDL",""
"Neomycin Sulfate","Tablet","500 mg","SDL",""
"Neomycin, Polymyxin B & Dexamethasone","Ear drops","Neomycin Sulfate 6,500 international units/mL + Polymyxin B Sulfate 10,000 international units/mL + Dexamethasone Sodium Metasulfobenzoate 1 mg/mL","SDL",""
"Neostigmine Metilsulfate","Injection","2.5 mg/mL","SDL",""
"Netupitant & Palonosetron","Capsule","Netupitant 300 mg & Palonosetron 0.5 mg","MAF","Prevention of chemotherapy-induced nausea and vomiting in patients receiving highly emetogenic chemotherapy"
"Nevirapine","Tablet","200 mg","SDL",""
"Nicotine (Nicorette)","Chewing gum","2 mg, 4 mg","MAF","As an aid for smoking cessation in patients who are willing to quit and enrolled in a smoking cessation counselling program, with a documented Fagerstrom score of three and above. The smoking cessation counselling programme should include a minimum of three counselling sessions, and counselling should be delivered by a healthcare professional trained in smoking cessation counselling, at an approved setting. Nicotine replacement therapies should not be used in combination with varenicline for smoking cessation"
"Nicotine (Nicotinell)","Lozenge","1 mg","MAF","As an aid for smoking cessation in patients who are willing to quit and enrolled in a smoking cessation counselling program, with a documented Fagerstrom score of three and above. The smoking cessation counselling programme should include a minimum of three counselling sessions, and counselling should be delivered by a healthcare professional trained in smoking cessation counselling, at an approved setting. Nicotine replacement therapies should not be used in combination with varenicline for smoking cessation."
"Nicotine (Nicotinell)","Transdermal patch","7 mg/ 24 hours, 14 mg/ 24 hours, 21 mg/ 24 hours","MAF","As an aid for smoking cessation in patients who are willing to quit and enrolled in a smoking cessation counselling program, with a documented Fagerstrom score of three and above. The smoking cessation counselling programme should include a minimum of three counselling sessions, and counselling should be delivered by a healthcare professional trained in smoking cessation counselling, at an approved setting. Nicotine replacement therapies should not be used in combination with varenicline for smoking cessation."
"Nifedipine","Extended-release tablet","30 mg, 60 mg","SDL",""
"Nifedipine","Tablet","10 mg","SDL",""
"Nifedipine","Capsule","5 mg, 10 mg","SDL",""
"Nilotinib","Capsule","50 mg, 150 mg, 200 mg","MAF","1) Treatment of newly diagnosed Philadelphia chromosome-positive (Ph+
) chronic myeloid leukaemia (CML) in chronic phase.

2) Treatment of adults with treatment-resistant or treatment-intolerant chronic myeloid leukaemia (CML) in chronic phase or accelerated phase; or children with treatment-resistant or treatment-intolerant CML in chronic phase."
"Niraparib","Tablet","100 mg","MAF","Maintenance monotherapy for patients with advanced epithelial high-grade ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy and whose cancer is associated with BRCA mutation and/or homologous recombination deficiency (HRD) positive status. Treatment should be continued until disease progression or unacceptable toxicity or a maximum of 36 months."
"Nirmatrelvir & Ritonavir (Paxlovid)","Tablet","Nirmatrelvir 150 mg & ritonavir 100 mg","MAF","Additional clinical criteria applies

Treatment of mild-to-moderate Coronavirus Disease 2019 (COVID-19), within 5 days of symptom onset, in patients who are at high risk for progression to severe COVID-19, including hospitalisation or death."
"Nitrazepam","Tablet","5 mg","SDL",""
"Nitrofurantoin","Tablet","50 mg, 100 mg","SDL",""
"Nivolumab (Opdivo)","Concentrate for infusion","40 mg/4 mL, 100 mg/10 mL","MAF","$8a"
"Nivolumab","Concentrate for infusion","240 mg/24 mL","MAF","$8c"
"Norepinephrine","Concentrate for infusion","4 mg/4 mL","SDL",""
"Norethisterone","Tablet","5 mg","SDL",""
"Nortriptyline","Capsule","10 mg, 25 mg","SDL",""
"Nystatin","Oral suspension","100,000 units/mL","SDL",""
"Nystatin","Vaginal tablet","100,000 units","SDL",""
"Obinutuzumab (Gazyva)","Concentrate for infusion","1000 mg/40 mL","MAF","1) Obinutuzumab in combination with bendamustine, for the treatment of follicular lymphoma that has not responded to or progressed within 6 months after treatment with rituximab or a rituximab-containing regimen. Patients must not have received obinutuzumab for follicular lymphoma. Maintenance treatment with obinutuzumab should be stopped at 2 years, or earlier if disease progresses.

2) Obinutuzumab in combination with venetoclax for patients with previously untreated chronic lymphocytic leukaemia (CLL) who are unsuitable for fludarabine-based therapy. Maximum treatment duration of obinutuzumab is 6 cycles and venetoclax is 12 months."
"Octreotide","Depot Injection","20 mg, 30 mg","SDL",""
"Olanzapine","Oral disintegrating tablet","5 mg, 10 mg","SDL",""
"Olanzapine","Tablet","5 mg, 10 mg","SDL",""
"Olaparib","Tablet","100 mg, 150 mg","MAF","$8e"
"Olive Oil","Ear drops","-","SDL",""
"Omalizumab (Xolair)","Prefilled syringe","150 mg/mL","MAF","Additional clinical criteria applies

As an add-on therapy to H1-antihistamines for treating severe chronic spontaneous urticaria (CSU) in patients aged 12 years and older, with a mean weekly Urticaria Activity Score (UAS7) of 28 and above, despite the use of, or who are intolerant to, four-times registered dose of second generation non-sedating H1-antihistamines.

A maximum of six 300 mg doses of omalizumab should be administered for each treatment course. Re-treatment with omalizumab can be considered upon relapse for patients who achieve an adequate response during the previous treatment course. Adequate response to omalizumab is defined as a UAS7 score of six or below while on treatment."
"Omalizumab biosimilar (Omlyclo)","Prefilled syringe","75 mg/0.5 mL, 150 mg/1 mL","SDL",""
"Omeprazole","Capsule","20 mg","SDL",""
"Omeprazole","Injection ","40mg","SDL",""
"Ondansetron","Injection","2 mg/mL","SDL",""
"Ondansetron","Tablet","8 mg","SDL",""
"Oral Rehydration Salts","Oral powder for reconstitution","-","SDL",""
"Osimertinib","Tablet","40 mg, 80 mg","MAF","Treatment of patients with locally advanced or metastatic EGFR T790M mutation-positive non-small-cell lung cancer whose disease has progressed on or after EGFR TKI therapy. For patients with isolated brain metastases who are clinically ineligible for re-biopsy and where T790M cannot be confirmed, osimertinib may be used until progression."
"Oxaliplatin","Injection","50 mg, 100 mg, 200 mg","SDL",""
"Oxybutynin Chloride","Tablet","5 mg","SDL",""
"Oxycodone Hydrochloride","Capsule","5 mg, 10 mg","MAF","For the management of moderate to severe cancer pain when other opioids (e.g., morphine/fentanyl) is contraindicated or not effective."
"Oxymetazoline Hydrochloride","Nasal drops","0.01%, 0.025%, 0.05%","SDL",""
"Oxymetazoline Hydrochloride","Nasal spray","0.025%, 0.05%","SDL",""
"Oxytocin","Injection","10 international units/mL","SDL",""
"Oxytocin & Ergometrine Maleate","Injection","Oxytocin 5 international units/mL + Ergometrine Maleate 0.5 mg/mL","SDL",""
"Paclitaxel","Concentrate for infusion","150 mg/25 mL, 300 mg/50 mL","SDL",""
"Paclitaxel (albumin-bound nanoparticles)","Infusion","100 mg","MAF","1) Nab-paclitaxel in combination with gemcitabine, for treatment of locally advanced or metastatic adenocarcinoma of the pancreas.

2) Monotherapy for metastatic breast cancer in patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated.

3) Nab-paclitaxel in combination with carboplatin, for previously untreated locally advanced or metastatic non-small cell lung cancer in patients who are not candidates for curative surgery or radiation therapy.

4) For cancer treatment in patients who are intolerant to taxane chemotherapy."
"Palbociclib","Capsule","75 mg, 100 mg, 125 mg","MAF","1) Palbociclib in combination with an aromatase inhibitor as initial endocrine-based therapy for HR-positive, HER2-negative, advanced or metastatic breast cancer. Pre/perimenopausal women treated with this combination could also receive a luteinizing hormone-releasing hormone agonist according to local clinical practice.

2) Palbociclib in combination with fulvestrant for treating HR-positive, HER2-negative, advanced or metastatic breast cancer in patients who have received prior endocrine therapy. Pre/perimenopausal women treated with this combination could also receive a luteinizing hormone-releasing hormone agonist according to local clinical practice."
"Palbociclib","Tablet","75 mg, 100 mg, 125 mg","MAF","1) Palbociclib in combination with an aromatase inhibitor as initial endocrine-based therapy for HR-positive, HER2-negative, advanced or metastatic breast cancer. Pre/perimenopausal women treated with this combination could also receive a luteinizing hormone-releasing hormone agonist according to local clinical practice.

2) Palbociclib in combination with fulvestrant for treating HR-positive, HER2-negative, advanced or metastatic breast cancer in patients who have received prior endocrine therapy. Pre/perimenopausal women treated with this combination could also receive a luteinizing hormone-releasing hormone agonist according to local clinical practice."
"Pamidronate Disodium","Infusion","30 mg, 90 mg","MAF","1) Treatment of metastatic bone lesions from breast cancer and advanced multiple myeloma

2) Treatment of hypercalcaemia of malignancy"
"Pancuronium Bromide","Concentrate for infusion","2 mg/mL","SDL",""
"Panitumumab (Vectibix)","Concentrate for infusion","100 mg/5 mL","SDL",""
"Pantoprazole","Injection","40 mg","SDL",""
"Paracetamol","Infusion","500 mg/50 mL, 1,000 mg/100 mL","SDL",""
"Paracetamol","Oral suspension","120 mg/5 mL, 250 mg/5 mL","SDL",""
"Paracetamol","Rectal suppository","125 mg, 250 mg, 325 mg, 650 mg","SDL",""
"Paracetamol","Tablet","120 mg, 500 mg","SDL",""
"Paracetamol & Orphenadrine Citrate","Tablet","Paracetamol 450 mg + Orphenadrine Citrate 35 mg","SDL",""
"Paraffin","Liquid","-","SDL",""
"Paraffin Soft & Paraffin Liquid","Ointment","Soft Paraffin 60% + Liquid Paraffin 40%","SDL",""
"Pazopanib","Tablet","200 mg, 400 mg","SDL",""
"Pegaspargase (Oncaspar)","Injection/ infusion ","750 U/ml","SDL",""
"Pegfilgrastim (Neulastim)","Prefilled syringe","6 mg/0.6 mL","SDL",""
"Pegfilgrastim biosimilar (Fulphila)","Prefilled syringe","6 mg/0.6 mL","SDL",""
"Peginterferon Alfa-2a","Prefilled syringe","135 mcg/0.5 mL, 180 mcg/0.5 mL","SDL ",""
"Pembrolizumab (Keytruda)","Infusion","100 mg/4 mL","MAF","$90"
"Pemetrexed","Injection","100 mg, 500 mg","SDL",""
"Penicillamine","Capsule","250 mg","SDL",""
"Pethidine Hydrochloride","Injection","50 mg/mL","SDL",""
"Phenazopyridine Hydrochloride","Tablet","100 mg","SDL",""
"Phenobarbital Sodium","Injection","200 mg/mL","SDL",""
"Phenobarbitone","Tablet","10 mg, 60 mg","SDL",""
"Phenol (in almond oil)","Injection","5%","SDL",""
"Phenoxymethylpenicillin","Tablet","250 mg","SDL",""
"Phenylephrine Hydrochloride","Single-use eye drops","2.5%, 10%","SDL",""
"Phenylephrine Hydrochloride","Eye drops","2.50%","SDL",""
"Phenytoin","Oral suspension","125 mg/5 mL","SDL",""
"Phenytoin Sodium","Injection","50 mg/mL","SDL",""
"Phenytoin Sodium","Capsule","30 mg, 100 mg","SDL",""
"Physostigmine Salicylate","Injection","1 mg/mL, 2 mg/5 mL","SDL",""
"Phytomenadione","Injection","10 mg/mL, 2 mg/0.2 mL","SDL",""
"Pilocarpine Hydrochloride","Eye drops","2%","SDL",""
"Pilocarpine Nitrate","Single-use eye drops","2%","SDL",""
"Piperacillin & Tazobactam","Injection","Piperacillin 4 g + Tazobactam 0.5 g","SDL",""
"Piroxicam","Capsule","10 mg, 20 mg","SDL",""
"Plasma-derived Factor VIII","Injection","250 international units, 500 international units, 1000 international units","SDL",""
"Plasma-derived Factor VIII & Von Willebrand Factor","Injection","Plasma-derived Factor VIII 250 international units, 500 international units, 1000 international units + Von Willebrand Factor range 100 international units to 3200 international units","SDL",""
"Podophyllum Resin","Paint","0.25%, 0.5%","SDL",""
"Polatuzumab vedotin (Polivy)","Powder for concentrate for solution for infusion","30 mg, 140 mg","MAF","Polatuzumab in combination with rituximab biosimilar (subsidised brand), cyclophosphamide, doxorubicin, and prednisone for previously untreated diffuse large B-cell lymphoma (DLBCL) in patients with an international prognostic index (IPI) score of 3 to 5."
"Pomalidomide","Capsule","1 mg, 2 mg, 3 mg, 4 mg","MAF","1) Pomalidomide in combination with bortezomib or cyclophosphamide, plus dexamethasone, for the treatment of patients with relapsed and/or refractory multiple myeloma who have received at least one prior therapy.

2) Pomalidomide in combination with dexamethasone for the treatment of patients with relapsed and/or refractory multiple myeloma who have received at least two prior therapies, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy."
