"active_ingredient","dosage_form","strength","subsidy_class","clinical_indication"
"Atezolizumab (Tecentriq)","Concentrate for infusion","840 mg/14 mL, 1200 mg/20 mL","MAF","$7b"
"Atorvastatin","Tablet","10 mg, 20 mg, 40 mg, 80 mg","SDL",""
"Atracurium besilate","Injection","25 mg/2.5 mL, 50 mg/5 mL","SDL",""
"Atropine Sulfate","Eye drops","0.5%, 1%","SDL",""
"Atropine Sulfate","Injection","0.6 mg/mL","SDL",""
"Avelumab (Bavencio)","Concentrate for infusion","200 mg/10 mL","MAF","1) Maintenance treatment of locally advanced or metastatic urothelial carcinoma that has not progressed with first-line platinum-based chemotherapy. Avelumab may be given at a dose of 10 mg/kg up to a maximum of 800 mg, every 2 weeks.

2) Treatment of metastatic merkel cell carcinoma. Avelumab may be given at a dose of 10 mg/kg up to a maximum of 800 mg, every 2 weeks. 

3) Avelumab in combination with axitinib for untreated advanced renal cell carcinoma. Avelumab may be given at a dose of 10 mg/kg up to a maximum of 800 mg, every 2 weeks."
"Axitinib","Tablet","1 mg, 5 mg","MAF","1) For previously treated advanced renal cell carcinoma

2) Axitinib in combination with avelumab for untreated advanced renal cell carcinoma. Avelumab may be given at a dose of 10 mg/kg up to a maximum of 800 mg, every 2 weeks. "
"Azacitidine","Injection","100 mg","SDL",""
"Azathioprine","Tablet","25 mg, 50 mg","SDL",""
"Azithromycin","Injection","500 mg","SDL",""
"Azithromycin","Oral suspension","200 mg/5 mL","SDL",""
"Azithromycin","Tablet","250 mg","SDL",""
"Bacillus Calmette-Guerin","Solution for intravesical use","12.5 mg, 40 mg, 80 mg","SDL",""
"Baricitinib","Tablet","2 mg, 4 mg","MAF","Additional clinical criteria applies

Treatment of adult patients with rheumatoid arthritis"
"Beclomethasone Dipropionate","Inhalation aerosol","250 mcg/dose","SDL",""
"Beclomethasone Dipropionate","Inhalation aerosol","50 mcg/dose","SDL",""
"Bendamustine","Concentrate for infusion","25 mg, 100 mg","SDL",""
"Benralizumab (Fasenra)","Solution for injection in autoinjector","30 mg/1 mL","MAF","Additional clinical criteria applies

As add-on therapy for the treatment of severe eosinophilic asthma"
"Benzalkonium Chloride & Cetrimide","Cream","Benzalkonium Chloride 0.01% + Cetrimide 0.2%","SDL",""
"Benzathine Benzylpenicillin","Injection","2.4 million international units","SDL",""
"Benztropine Mesylate","Injection","2 mg/2 mL","SDL",""
"Benztropine Mesylate","Tablet","2 mg","SDL",""
"Benzhexol Hydrochloride","Tablet","2 mg","SDL",""
"Benzoyl Peroxide","Gel","2.5%, 5%, 10%","SDL",""
"Benzyl Benzoate","Topical emulsion","25%","SDL",""
"Benzylpenicillin Sodium","Eye drops (preservative-free)","2,500 international units/mL","SDL",""
"Benzylpenicillin Sodium","Injection","1 million international units, 5 million international units","SDL",""
"Betaine","Powder","180 g","MAF","1) Treatment of classic homocysteinuria

2) Treatment of homocysteinuria secondary to sulfite oxidase deficiency, methionine synthase deficiency or cobalamin-related remethylation pathway defect"
"Betahistine Mesilate","Tablet","6 mg","SDL",""
"Betamethasone (as Valerate)","Scalp lotion","0.10%","SDL",""
"Betamethasone (as Valerate)","Cream","0.0125%, 0.025%, 0.05%, 0.1%","SDL",""
"Betamethasone (as Valerate)","Ointment","0.025%, 0.05%, 0.1%","SDL",""
"Betamethasone (as Valerate) & Clioquinol","Cream","Betamethasone 0.025% + Clioquinol 3%, Betamethasone 0.05% + Clioquinol 3%, Betamethasone 0.1% + Clioquinol 3%","SDL",""
"Betamethasone Sodium Phosphate","Eye/ear drops","0.10%","SDL",""
"Betamethasone Sodium Phosphate","Eye/ear drops","0.10%","SDL",""
"Bethanechol Chloride","Tablet","10 mg","SDL",""
"Bevacizumab","Intravitreal injection","25 mg/mL","MAF","1) Treatment of adults with visual impairment due to neovascular (wet) age-related macular degeneration

2) Treatment of adults with visual impairment due to macular oedema secondary to central or branch retinal vein occlusion

3) Treatment of adults with visual impairment due to diabetic macular oedema"
"Bevacizumab biosimilar (Mvasi)","Concentrate for infusion","100 mg, 400 mg","SDL ",""
"Bicalutamide","Tablet","50 mg","SDL",""
"Bisacodyl","Enteric-coated tablet","5 mg","SDL",""
"Bisacodyl","Rectal suppository","10 mg","SDL",""
"Bismuth Subcitrate","Tablet","120 mg","SDL",""
"Bismuth Subsalicylate","Tablet","262.5 mg","SDL",""
"Bisoprolol Fumarate","Tablet","2.5 mg, 5 mg","SDL",""
"Bleomycin","Injection","15,000 international units (USP 15 units)","SDL",""
"Blinatumomab (Blincyto)","Powder for infusion","35 mcg","MAF","$7d"
"Boric Acid, Resorcinol & Phenol","Paint","Boric Acid 0.8% + Resorcinol 8% + Phenol 4%","SDL",""
"Bortezomib ","Injection","3.5 mg","SDL",""
"Botulinum toxin type A complex (Botox)","Injection","50 units, 100 units","MAF","$7f"
"Botulinum toxin type A complex (Dysport)","Injection","300 units, 500 units","MAF","$81"
"Brentuximab vedotin (Adcetris)","Concentrate for infusion","50 mg","MAF","$83"
"Brigatinib","Tablet","30 mg, 90 mg, 180 mg","MAF","Treatment of locally advanced or metastatic ALK mutation-positive non-small-cell lung cancer."
"Brimonidine Tartrate","Eye drops","0.1%, 0.15%","SDL",""
"Brinzolamide","Eye drops","1%","SDL",""
"Brinzolamide & Timolol ","Eye drops","Brinzolamide 1% + Timolol 0.5%","SDL",""
"Bromocriptine","Tablet","2.5 mg","SDL",""
"Buclizine Hydrochloride","Tablet","25 mg","SDL",""
"Budesonide","Inhalation powder","100 mcg/dose, 200 mcg/dose","SDL",""
"Budesonide & Formoterol fumarate dihydrate (Symbicort Rapihaler)","Inhalation aerosol","Budesonide 80 mcg/dose + Formoterol fumarate dihydrate 2.25 mcg/dose  (120 inhalations), Budesonide 160 mcg/dose + Formoterol fumarate dihydrate 4.5 mcg/dose (120 inhalations)","SDL",""
"Budesonide & Formoterol fumarate dihydrate (Symbicort Turbuhaler)","Inhalation powder","Budesonide 160 mcg/dose + Formoterol fumarate dihydrate 4.5 mcg/dose (120 inhalations)","SDL",""
"Budesonide & Formoterol fumarate dihydrate (Duoresp Spiromax)","Inhalation powder","Budesonide 160 mcg/dose + Formoterol fumarate dihydrate 4.5 mcg/dose (120 inhalations)"," SDL",""
"Bupivacaine Hydrochloride (hyperbaric)","Injection","0.5% (in dextrose 8%)","SDL",""
"Bupivacaine Hydrochloride (isobaric)","Injection","0.50%","SDL",""
"Buprenorphine","Sublingual tablet","0.2 mg","SDL",""
"Burosumab (Crysvita)","Solution
for injection","10 mg/mL, 20 mg/mL, 30 mg/mL","MAF","Additional clinical criteria applies

Treatment of X-linked hypophosphataemia (XLH) in adults and children 1 year of age and older"
"Busulfan","Injection","60 mg","SDL",""
"Busulfan","Tablet","2 mg","SDL",""
"C1 Esterase Inhibitor (Human)","Injection","500 international units/10 mL","MAF","Treatment of hereditary angioedema"
"Cabergoline","Tablet","0.5 mg","MAF","As a 2nd line agent for the management of hyperprolactinaemia in patients who have failed to respond or who are unable to tolerate bromocriptine"
"Cabozantinib","Tablet","20 mg, 40 mg, 60 mg","MAF","1) For previously treated advanced renal cell carcinoma

2) For untreated intermediate- or poor-risk advanced renal cell carcinoma

3) Treatment of advanced unresectable hepatocellular carcinoma in patients with disease progression after 1 or more prior lines of systemic therapy, and who have adequate liver function as assessed by the Child-Pugh scoring system"
"Calamine","Lotion","Calamine 15%","SDL",""
"Calamine & Menthol","Lotion","Calamine 15% + Menthol 0.4%","SDL",""
"Calcipotriol","Ointment","50 mcg/g","SDL",""
"Calcipotriol","Scalp solution","50 mcg/mL","SDL",""
"Calcipotriol & Betamethasone","Cutaneous foam","Calcipotriol 50 mcg/g + Betamethasone (as Diproprionate) 0.5 mg/g","SDL",""
"Calcipotriol & Betamethasone","Gel","Calcipotriol 50 mcg/g + Betamethasone (as Diproprionate) 0.5 mg/g","SDL",""
"Calcipotriol & Betamethasone","Ointment","Calcipotriol 50 mcg/g + Betamethasone (as Diproprionate) 0.5 mg/g","SDL",""
"Calcitriol","Capsule","0.25 mcg","SDL",""
"Calcium","Syrup","20 mg to 23 mg Ca2+ /mL","SDL",""
"Calcium Acetate","Tablet","667 mg","SDL",""
"Calcium Carbonate","Chewable tablet","1.25 g","SDL",""
"Calcium Carbonate","Tablet","625 mg","SDL",""
"Calcium Carbonate & Cholecalciferol","Tablet","Calcium Carbonate 450 mg + Cholecalciferol 5 mcg","SDL",""
"Calcium Chloride Dihydrate","Injection","10%","SDL",""
"Calcium Gluconate","Injection","10%","SDL",""
"Calfactant","Intratracheal suspension","105 mg/3 mL, 210 mg/6 mL  ","SDL",""
"Candesartan Cilexetil","Tablet","8 mg, 16 mg","MAF","Treatment of patients with heart failure who cannot tolerate angiotensin converting enzyme inhibitors"
"Capecitabine","Tablet","150 mg, 500 mg","SDL",""
"Captopril","Tablet","12.5 mg, 25 mg","SDL",""
"Carbamazepine","Controlled-release tablet","200 mg, 400 mg","SDL",""
"Carbamazepine","Oral suspension","100 mg/5 mL","SDL",""
"Carbamazepine","Tablet","200 mg","SDL",""
"Carbimazole","Tablet","5 mg","SDL",""
"Carboplatin","Injection","150 mg/15 mL, 450 mg/45 mL","SDL",""
"Carmustine","Injection","100 mg","SDL",""
"Carfilzomib","Infusion","30 mg","MAF","1) Carfilzomib in combination with lenalidomide or thalidomide or cyclophosphamide, plus dexamethasone, for the treatment of patients with relapsed and/or refractory multiple myeloma who have received at least one prior therapy. Treatment with carfilzomib should be stopped after 18 cycles, or earlier if disease progresses.

2) Carfilzomib in combination with dexamethasone for the treatment of patients with relapsed and/or refractory multiple myeloma who have received at least one prior therapy."
"Carvedilol","Tablet","6.25 mg, 12.5 mg, 25 mg","SDL",""
"Cefalexin","Capsule","250 mg","SDL",""
"Cefalexin","Oral suspension","125 mg/5 mL","SDL",""
"Cefazolin","Injection","1 g","SDL",""
"Cefepime","Injection","2 g","SDL",""
"Ceftazidime","Injection","1 g","SDL",""
"Ceftriaxone","Injection","1 g, 2 g","SDL",""
"Celecoxib","Capsule","200 mg","SDL",""
"Ceritinib","Capsule","150 mg","SDL",""
"Cetirizine","Solution","1 mg/mL","SDL",""
"Cetirizine","Tablet","10 mg","SDL",""
"Cetrimide","Topical solution","1%","SDL",""
"Cetrimide","Shampoo","5%","SDL",""
"Cetuximab (Erbitux)","Infusion","100 mg/20 mL","SDL",""
"Charcoal (activated)","Capsule","200 mg","SDL",""
"Charcoal (activated)","Granules","50 g","SDL",""
"Charcoal (activated)","Oral suspension","50 g in sorbitol 96 g","SDL",""
"Charcoal (activated)","Tablet","200 mg, 250 mg","SDL",""
"Chloral Hydrate","Oral solution","500 mg/5 mL","SDL",""
"Chlorambucil","Tablet","2 mg","SDL",""
"Chloramphenicol","Eye drops","0.50%","SDL",""
"Chloramphenicol","Eye ointment","1%","SDL",""
"Chlorhexidine Gluconate","Cream","1%","SDL",""
"Chlorhexidine Salt","Mouthwash","0.20%","SDL",""
"Chlorhexidine Salt","Topical solution","0.05%, 0.1%","SDL",""
"Chlorhexidine Salt","Topical solution","4%","SDL",""
"Chlorhexidine Salt","Mouthwash","0.20%","SDL",""
"Chlorhexidine Salt & Alcohol","Topical solution","Chlorhexidine Salt 0.1% + Alcohol 70%, Chlorhexidine Salt 0.5% + Alcohol 70%","SDL",""
"Chlorhexidine Salt & Cetrimide","Topical solution","Chlorhexidine Salt 0.015% + Cetrimide 0.15%","SDL",""
"Chloroquine Phosphate","Tablet","150 mg","SDL",""
"Chlorpheniramine","Syrup","4 mg/5 mL","SDL",""
"Chlorpheniramine","Tablet","4 mg","SDL",""
"Chlorpromazine","Injection","50 mg/2 mL","SDL",""
"Chlorpromazine","Tablet","25 mg, 100 mg","SDL",""
"Chlortetracycline","Eye ointment","1%","SDL",""
"Choline Salicylate & Cetylpyridinium Chloride","Oral gel","Choline Salicylate 8.7% + Cetylpyridinium Chloride 0.01%","SDL",""
"Ciclosporin","Capsule","10 mg, 25 mg, 100 mg","SDL",""
"Ciclosporin","Concentrate for infusion","50 mg/mL","SDL",""
"Ciclosporin","Oral solution","100 mg/mL","SDL",""
"Ciclosporin ","Eye drop","0.10%","MAF","For the treatment of severe keratitis in dry eye disease in patients who fulfil the following criteria:

• Have a corneal fluorescein staining (CFS) grade of 4 using the modified Oxford scale or equivalent; AND

• Have an ocular surface disease index (OSDI) greater than or equal to 23; AND

• Inadequate symptom control using optimised treatment with tear substitutes for at least 3 months"
"Cimetidine","Injection","200 mg/2 mL, 150 mg/mL","SDL",""
"Cimetidine","Tablet","200 mg","SDL",""
"Ciprofloxacin","Tablet","250 mg, 500 mg","SDL",""
"Ciprofloxacin","Eye/ear drops","0.30%","SDL",""
"Ciprofloxacin","Infusion","2 mg/mL","SDL",""
"Cisplatin","Concentrate for infusion","50 mg/50 mL, 100 mg/100 mL","SDL",""
"Citric Acid Monohydrate & Potassium Citrate","Oral solution","Citric Acid Monohydrate 0.25 g/5 mL + Potassium Citrate 1.5 g/5 mL","SDL",""
"Clarithromycin","Modified-release tablet","500 mg","SDL",""
"Clarithromycin","Tablet","250 mg, 500 mg","SDL",""
"Clarithromycin","Injection","500 mg","SDL",""
"Clarithromycin","Oral suspension","125 mg/5 mL","SDL",""
"Clidinium & Chlordiazepoxide","Tablet","Clidinium Bromide 2.5 mg + Chlordiazepoxide 5 mg","SDL",""
"Clindamycin","Capsule","150 mg","SDL",""
"Clindamycin","Injection","150 mg/mL","SDL",""
"Clobetasol propionate","Cream","0.05%","SDL",""
"Clobetasol propionate","Ointment","0.05%","SDL",""
"Clomiphene Citrate","Tablet","50 mg","SDL",""
"Clomipramine Hydrochloride","Tablet","25 mg","SDL",""
"Clonazepam","Tablet","0.5 mg, 2 mg","SDL",""
"Clopidogrel","Tablet","75 mg","SDL",""
"Clotrimazole","Cream","1%","SDL",""
"Clotrimazole","Lotion","1%","SDL",""
"Clotrimazole","Powder","1%","SDL",""
"Clotrimazole","Vaginal tablet","100 mg","SDL",""
"Cloxacillin","Capsule","250 mg, 500 mg","SDL",""
"Cloxacillin","Injection","500 mg","SDL",""
"Cloxacillin","Oral Suspension","125 mg/5 mL","SDL",""
"Clozapine","Tablet","25 mg, 100 mg","SDL",""
"Coal Tar","Cream","5%, 10%, 15%","SDL",""
"Coal Tar","Lotion","20%","SDL",""
"Coal Tar","Shampoo","25%","SDL",""
"Coal Tar & Salicylic Acid","Ointment","Coal Tar 5% + Salicylic acid 2%","SDL",""
"Cocaine","Solution","10%","SDL",""
"Cocois Compound","Ointment","Coal Tar Solution 10% + Camphor 2% + Sulphur 4% + Salicylic Acid 2%","SDL",""
"Codeine & Promethazine","Syrup","Codeine Phosphate 18 mg/10 mL + Promethazine 7.2 mg/10 mL","SDL",""
"Codeine Phosphate","Tablet","30 mg","SDL",""
"Coenzyme Q10","Capsule","50 mg","MAF","Treatment of mitochondrial disorders"
"Colchicine","Tablet","500 mcg","SDL",""
"Cholecalciferol","Tablet","1,000 units","SDL",""
"Colestyramine","Powder for oral suspension","4 g","SDL",""
"Compound Diphenhydramine","Syrup","Ranging from 5 mg/5 mL to 14 mg/5 mL","SDL",""
"Compound Polyethylene Glycol","Oral powder","Macrogol 4000 64 g + Anhydrous Sodium Sulfate 5.7 g + Sodium Bicarbonate 1.68 g, Sodium Chloride 1.46 g, Potassium Chloride 0.75 g","SDL",""
"Compound Sodium Lactate","Infusion","-","SDL",""
"Conjugated Oestrogens","Tablet","0.625 mg","SDL",""
"Conjugated Oestrogens","Vaginal cream","0.625 mg/g","SDL",""
"Cyanocobalamin","Injection","1 mg/mL","SDL",""
"Cyclophosphamide","Infusion","200 mg, 1 g","SDL",""
"Cyclophosphamide","Tablet","50 mg","SDL",""
"Cyproheptadine Hydrochloride","Tablet","4 mg","SDL",""
"Cyproterone Acetate","Tablet","50 mg","SDL",""
"Cytarabine","Injection","1 g/10 mL","SDL",""
"Dabrafenib","Capsule","50 mg, 75 mg","MAF","$85"
"Dabrafenib","Dispersible tablet","10 mg","MAF","1) To use with trametinib for the treatment of paediatric patients 1 year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy. Treatment must be discontinued following disease progression based on the Response Assessment in Neuro-Oncology (RANO) criteria.



2)  To use with trametinib for the treatment of paediatric patients 1 year of age and older with high-grade glioma (HGG) with a BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options. Treatment must be discontinued following disease progression based on the Response Assessment in Neuro-Oncology (RANO) criteria."
"Dacarbazine","Injection","200 mg","SDL",""
"Dacomitinib","Tablet","15 mg, 30 mg, 45 mg ","SDL",""
"Dactinomycin","Infusion","500 mcg","SDL",""
"Dantrolene Sodium","Capsule","25 mg, 100 mg","SDL",""
"Dapsone","Tablet","100 mg","SDL",""
"Darbepoetin alfa (NESP) ","Injection","20 mcg/0.5 mL, 40 mcg/0.5 mL and 120 mcg/0.5 mL","SDL",""
"Darolutamide","Tablet","300 mg","MAF","Darolutamide in combination with androgen deprivation therapy (ADT) for treating patients with high-risk non-metastatic castration-resistant prostate cancer (nmCRPC).

Darolutamide in combination with androgen deprivation therapy (ADT) for treating patients with metastatic hormone-sensitive prostate cancer (mHSPC)."
"Daptomycin","Injection","500 mg","SDL",""
"Darunavir","Tablet","600 mg, 800 mg ","SDL",""
"Dasatinib","Tablet","20 mg, 50 mg, 70 mg","MAF","1) Treatment of newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukaemia in combination with chemotherapy.

2) Treatment of newly diagnosed Philadelphia chromosome-positive chronic myeloid leukaemia in chronic phase.

3) Treatment of patients with Philadelphia chromosome-positive acute lymphoblastic leukaemia with resistance or intolerance to prior treatment with imatinib.

4) Treatment of adults with treatment-resistant or treatment-intolerant chronic myeloid leukemia (CML) in chronic phase, accelerated phase, or myeloid or lymphoid blast phase or children with treatment-resistant or treatment-intolerant CML in chronic phase."
"Daunorubicin","Injection","20 mg","SDL",""
"Deferasirox","Tablet","90 mg, 360 mg","SDL",""
"Deferiprone","Oral solution","100 mg/mL","SDL",""
"Deferiprone","Tablet","500 mg","SDL",""
"Desferrioxamine Mesylate","Injection","500 mg","SDL",""
"Degarelix","Powder and solvent for solution for injection","80 mg, 120 mg","MAF","Treatment of patients with advanced hormone-dependent prostate cancer"
"Denatured alcohol","Topical solution","70%","SDL",""
"Denosumab (Prolia)","Prefilled syringe","60 mg/mL","MAF","1) Treatment to increase bone mass in women at high risk for fracture receiving adjuvant aromatase inhibitor therapy for non-metastatic breast cancer.

2) Treatment to increase bone mass in men at high risk for fracture receiving androgen deprivation therapy for non-metastatic prostate cancer.

3) Treatment of patients with osteoporosis (T-score ≤ -2.5) at high risk for fracture."
"Denosumab (Xgeva)","Injection","120 mg/1.7 mL","MAF","1) Prevention of skeletal-related events in patients with bone metastases from breast cancer, castration-resistant prostate cancer, lung cancer, and all other solid tumours. 

2) Treatment of adults and skeletally mature adolescents with giant cell tumour of bone that is unresectable or where surgical resection is likely to result in severe morbidity."
"Dequalinium Chloride","Lozenge","0.25 mg","SDL",""
"Desmopressin","Oral Lyophilisate","25 mcg, 50 mcg, 60 mcg, 120 mcg","SDL",""
"Desmopressin Acetate","Nasal spray","10 mcg/dose","SDL",""
"Desmopressin Acetate","Tablet","0.1 mg","SDL",""
