"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
SX0754-000,N/A,fidaxomicin,"Clostridioides difficile infection","Reimburse with clinical criteria and/or conditions",Complete,"Nov 13, 2024",
PX0376-000,N/A,nivolumab,"Hodgkin lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Nov 12, 2024",
PX0367-000,N/A,blinatumomab,"Acute lymphoblastic leukemia, pediatrics","Reimburse with clinical criteria and/or conditions",Complete,"Jun 11, 2024","Feb 4, 2025"
SX0753-000,N/A,naloxegol,"Management of opioid-induced constipation (OIC).","Reimburse with clinical criteria and/or conditions",Complete,"Nov 19, 2024","Jul 17, 2025"
PX0379-000,N/A,pertuzumab,"HER2+ breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jan 2, 2025","Oct 6, 2025"
PX0378-000,N/A,cabozantinib,"Neuroendocrine tumours","Reimburse with clinical criteria and/or conditions",Complete,"Jan 2, 2025",
PX0377-000,N/A,trabectedin,"Soft tissue and uterine leiomyosarcoma","Reimburse with clinical criteria and/or conditions",Complete,"Jan 2, 2025","Oct 6, 2025"
SX0839-000,N/A,Mepolizumab,"Eosinophilic Granulomatosis with Polyangiitis","Reimburse with clinical criteria and/or conditions",Complete,"Dec 19, 2023","Nov 25, 2024"
PX0354-000,N/A,Nab-paclitaxel,"Gastrointestinal cancer","Do not reimburse",Complete,"Dec 21, 2023",
PX0346-000,N/A,Pembrolizumab,"Melanoma (Skin)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2023","Aug 1, 2024"
PX0347-000,N/A,"Nivolumab and Ipilimumab","Melanoma (Skin)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2023","Aug 1, 2024"
PX0348-000,N/A,Nab-paclitaxel,"Solid tumours","Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2023","Jul 24, 2024"
SX0836-000,N/A,everolimus,"Tuberous Sclerosis Complex (TSC)","Reimburse with clinical criteria and/or conditions",Complete,"Dec 13, 2023","Dec 3, 2024"
PX0360-000,N/A,nab-paclitaxel,"Gastrointestinal cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 12, 2024",
SX0814-000,N/A,everolimus,"Renal angiomyolipoma associated with tuberous sclerosis","Reimburse with clinical criteria and/or conditions",Complete,"Jul 6, 2023","Apr 18, 2024"
PX0333-000,N/A,panitumumab,"Left-sided metastatic colorectal cancer (mCRC)","Reimburse with clinical criteria and/or conditions",Complete,"May 19, 2023","Apr 18, 2024"
PX0383-000,N/A,bevacizumab,"Gynecological cancer","Do not reimburse",Complete,,
SX0759-000,N/A,evolocumab,"Dyslipidemia and Lipid Disorders",,Active,,
PX0384-000,N/A,blinatumomab,"Philadelphia chromosome-positive acute lymphoblastic leukemia","Do not reimburse",Active,,
SX0758-000,N/A,empagliflozin,"Kidney Disease, Nephrology",,Active,,
PX0382-000,N/A,olaparib,"Pancreatic cancer",,Active,"Jun 25, 2025",
SR0434-000,Naglazyme,"Galsulfase (Drug Plan Submission)","Mucopolysaccharidosis VI (Maroteaux-Lamy syndrome)","List with clinical criteria and/or conditions",Complete,"Aug 20, 2015","Feb 19, 2016"
SR0900-000,Neffy,epinephrine,"Emergency treatment of type I allergic reactions",,Active,"Aug 8, 2025",
SR0861-000,Nemluvio,nemolizumab,"Prurigo nodularis (PN)","Reimburse with clinical criteria and/or conditions",Active,"Jan 7, 2025",
SR0869-000,Nemluvio,nemolizumab,"atopic dermatitis","Reimburse with clinical criteria and/or conditions",Active,"Feb 27, 2025",
PC0172-000,Nerlynx,Neratinib,"ERBB2-positive breast cancer","Do not reimburse",Complete,,"Dec 5, 2019"
