"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
SR0799-000,Epidiolex,cannabidiol,"Dravet Syndrome (DS)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 25, 2023","Apr 18, 2024"
SR0798-000,Epidiolex,cannabidiol,"Seizures associated with Tuberous Sclerosis Complex (TSC)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 29, 2023","Apr 18, 2024"
PC0448-000,Epkinly,epcoritamab,"Relapsed or refractory follicular lymphoma (FL)",,Pending,,
PC0334-000,Epkinly,epcoritamab,"Relapsed or refractory diffuse large B-cell lymphoma","Time-limited reimbursement recommendation",Complete,"Nov 14, 2023","May 31, 2024"
PC0031-000,Erbitux,Cetuximab,"Metastatic Colorectal Cancer","Do not reimburse",Complete,,"Jan 10, 2014"
PC0128-000,Erbitux,Cetuximab,,,Cancelled,,
SE0513-000,Erelzi,Etanercept,"Rheumatoid arthritis, juvenile idiopathic arthritis, ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Feb 2, 2017","Jul 25, 2017"
PC0015-000,Erivedge,Vismodegib,"Basal Cell Carcinoma","Reimburse with clinical criteria and/or conditions",Complete,,"Jan 10, 2014"
PC0133-000,Erleada,Apalutamide,"non-metastatic castrate resistant prostate cancer (nm-CRPC)","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 1, 2018"
PC0200-000,Erleada,Apalutamide,"metastatic castration-sensitive prostate cancer (mCSPC)","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 22, 2020"
SR0292-000,Esbriet,Pirfenidone,"Idiopathic pulmonary fibrosis","Do not list",Complete,"Oct 5, 2012","Apr 18, 2013"
SR0393-000,Esbriet,Pirfenidone,"Idiopathic pulmonary fibrosis","List with criteria/condition",Complete,"Aug 29, 2014","Apr 15, 2015"
SR0570-000,Eucrisa,crisaborole,"atopic dermatitis","Do not reimburse",Complete,"May 25, 2018","Mar 27, 2019"
SF0925-000,Evenity,romosozumab,Osteoporosis,,Active,,
SR0676-000,Evenity,romosozumab,"Osteoporosis, postmenopausal women","Reimburse with clinical criteria and/or conditions",Complete,"Feb 1, 2021","Nov 11, 2021"
SR0778-000,Evkeeza,evinacumab,"Homozygous familial hypercholesterolemia (HoFH)","Reimburse with clinical criteria and/or conditions",Complete,"May 10, 2023","Jan 12, 2024"
SR0004-000,Evra,"Norgelestromin/ethinyl estradiol","Contraceptive, patch","Do not list",Complete,"Dec 19, 2003","Jun 23, 2004"
NS0044-000,Evrysdi,risdiplam,"For the treatment of patients with spinal muscular atophy (SMA) younger than 2 months of age.","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0661-000,Evrysdi,risdiplam,"Spinal muscular atrophy","Reimburse with clinical criteria and/or conditions",Complete,"Nov 19, 2020","Aug 5, 2021"
SX0760-000,Evrysdi,risdiplam,"Spinal muscular atrophy",,Active,,
SR0123-000,"Exelon Patch",Rivastigmine,"Dementia (Alzheimer's type)","Do not list",Complete,"Dec 21, 2007","Jul 23, 2008"
SR0081-000,Exjade,Deferasirox,"Iron overload","List with clinical criteria and/or conditions",Complete,"Oct 26, 2006","Apr 19, 2007"
SR0460-000,Eylea,Aflibercept,"Macular edema, branch retinal vein occlusion","Reimburse with clinical criteria and/or conditions",Complete,"Dec 14, 2015","Jul 27, 2016"
SR0361-000,Eylea,Aflibercept,"Macular degeneration, age-related","List with criteria/condition",Complete,"Nov 18, 2013","Oct 20, 2014"
SR0396-000,Eylea,Aflibercept,"Macular edema, diabetic","List with clinical criteria and/or conditions",Complete,"Sep 16, 2014","May 7, 2015"
SR0401-000,Eylea,Aflibercept,"Macular edema, central retinal vein occlusion","List with clinical criteria and/or conditions",Complete,"Oct 17, 2014","May 7, 2015"
SR0812-000,"Eylea HD","aflibercept 8mg/0.07mL","macular degeneration, age related","Reimburse with clinical criteria and/or conditions",Complete,"Aug 18, 2023","Jun 5, 2024"
SR0813-000,"Eylea HD","aflibercept 8mg/0.07mL","diabetic macular edema","Reimburse with clinical criteria and/or conditions",Complete,"Aug 18, 2023","Jun 5, 2024"
SR0917-000,Fabhalta,iptacopan,"Complement 3 glomerulopathy (C3G)",,Active,"Nov 12, 2025",
SR0851-000,Fabhalta,iptacopan,"paroxysmal nocturnal hemoglobinuria (PNH)","Reimburse with clinical criteria and/or conditions",Complete,"Aug 15, 2024","Mar 12, 2025"
SR0007-000,Fabrazyme,"Agalsidase beta","Fabry Disease","Do not list",Complete,"Feb 24, 2004","Nov 24, 2004"
SR0028-000,Fabrazyme,"Agalsidase beta","Fabry Disease","Do not list",Complete,"Dec 10, 2004","May 18, 2005"
SR0275-000,Fampyra,Fampridine,"Multiple sclerosis, improve walking disability","Do not list",Complete,"Apr 16, 2012","Nov 28, 2012"
SR0404-000,Fampyra,Fampridine,"Multiple sclerosis, improve walking disability",,Withdrawn,"Nov 6, 2014",
SR0561-000,Fasenra,benralizumab,"Asthma, severe eosinophilic","Reimburse with clinical criteria and/or conditions",Complete,"Feb 23, 2018","Aug 21, 2018"
SF0592-000,Fasenra,benralizumab,"Asthma, severe eosinophilic","Reimburse with clinical criteria and/or conditions",Complete,"Oct 24, 2018","Mar 27, 2019"
PC0110-000,Faslodex,Fulvestrant,"Locally advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Feb 1, 2018"
SR0494-000,Fentora,"Fentanyl buccal","Pain (breakthrough), cancer (adults)","Do not reimburse",Complete,"Jul 12, 2016","Feb 21, 2017"
SR0842-000,Ferinject,"ferric carboxymaltose","Iron deficiency anemia","Reimburse with clinical criteria and/or conditions",Complete,"May 10, 2024","Dec 11, 2024"
SR0852-000,Ferinject,"ferric carboxymaltose","Iron deficiency in adult patients with heart failure","Reimburse with clinical criteria and/or conditions",Complete,"Mar 1, 2024","Apr 16, 2025"
SR0741-000,Ferriprox,deferiprone,"Transfusional iron overload","Reimburse with clinical criteria and/or conditions",Complete,"Jun 8, 2022","Jan 19, 2023"
SR0448-000,Ferriprox,Deferiprone,"Transfusional iron overload","List with clinical criteria and/or conditions",Complete,"Sep 24, 2015","Mar 18, 2016"
SF0609-000,Fibristal,"ulipristal acetate","Uterine fibroids (signs and symptoms)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 28, 2019","Jul 24, 2019"
SR0326-000,Fibristal,"Ulipristal acetate","Uterine fibroids","List with criteria/condition",Complete,"Apr 17, 2013","Nov 15, 2013"
SF0528-000,Fibristal,"ulipristal acetate","Uterine fibroids (signs and symptoms)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 21, 2017","Nov 22, 2017"
SR0209-000,Finacea,"Azelaic acid",Rosacea,List,Complete,"Aug 31, 2010","Feb 16, 2011"
NS0014-000,Firazyr,icatibant,"Acute attacks of hereditary angioedema","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0375-000,Firazyr,Icatibant,"Hereditary angioedema","List with clinical criteria and/or conditions",Complete,"Mar 4, 2014","Dec 19, 2014"
SR0664-000,Firdapse,"amifampridine phosphate","Lambert-Eaton Myasthenic Syndrome, adults","Reimburse with clinical criteria and/or conditions",Complete,"Nov 15, 2021","Jun 16, 2022"
PC0138-000,Folotyn,Pralatrexate,"Peripheral T-Cell Lymphoma (PTCL)","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 4, 2019"
SR0015-000,Forteo,"Teriparatide (rDNA origin) injection",Osteoporosis,"Do not list",Complete,"Jun 8, 2004","Dec 22, 2004"
SR0152-000,Forteo,"Teriparatide (rDNA origin) injection","Osteoporosis, glucocorticoid induced","Do not list",Complete,"Dec 18, 2008","Jul 22, 2009"
SR0157-000,Forteo,"Teriparatide (rDNA origin) injection",Osteoporosis,,Withdrawn,"Dec 18, 2008",
SR0169-000,Forteo,"Teriparatide (rDNA origin) injection",Osteoporosis,,Withdrawn,"Jun 12, 2009",
SR0180-000,Forteo,"Teriparatide (rDNA origin) injection","Osteoporosis (in women), Severe","Do not list",Complete,"Oct 23, 2009","Mar 17, 2010"
SR0065-000,Forteo,"Teriparatide (rDNA origin) injection",Osteoporosis,,Withdrawn,"May 29, 2006",
NS0021-000,Forxiga,dapagliflozin,"Chronic kidney disease","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0445-000,Forxiga,Dapagliflozin,"Diabetes mellitus, type 2","Do not list",Complete,"Sep 4, 2015","Apr 27, 2016"
SR0428-000,Forxiga,Dapagliflozin,"Diabetes mellitus, type 2","List with clinical criteria and/or conditions",Complete,"Apr 30, 2015","Nov 20, 2015"
SR0642-000,Forxiga,dapagliflozin,"Heart failure with reduced ejection fraction","Reimburse with clinical criteria and/or conditions",Complete,"Mar 31, 2020","Dec 23, 2020"
SR0059-000,Fosavance,"Alendronate sodium/cholecalciferol",Osteoporosis,"Do not list",Complete,"Mar 27, 2006","Sep 27, 2006"
SR0153-000,"Fosavance 70/5600","Alendronate sodium / cholecalciferol",Osteoporosis,"List in a similar manner to other drugs in class",Complete,"Dec 18, 2008","Jun 17, 2009"
SR0100-000,Fosrenol,"Lanthanum carbonate hydrate","Hyperphosphatemia, end-stage renal disease","Do not list",Complete,"Jun 28, 2007","Jan 30, 2008"
PC0352-000,Fruzaqla,fruquintinib,"Metastatic colorectal cancer (mCRC)","Reimburse with clinical criteria and/or conditions",Complete,"May 22, 2024","Nov 27, 2024"
SE0588-000,Fulphila,pegfilgrastim,"Febrile neutropenia in non-myeloid malignancies",N/A,Complete,"Nov 14, 2018",
SR0316-000,Fycompa,Perampanel,"Epilepsy, partial onset seizures","List with criteria/condition",Complete,"Mar 8, 2013","Oct 17, 2013"
SR0458-000,Fycompa,Perampanel,"Epilepsy, primary generalized tonic-clonic seizures","Reimburse with clinical criteria and/or conditions",Complete,"Nov 24, 2015","May 18, 2016"
SR0522-000,Galafold,migalastat,"Fabry Disease","Reimburse with clinical criteria and/or conditions",Complete,"Jun 9, 2017","Jan 24, 2018"
SR0347-000,Galexos,Simeprevir,"Hepatitis C, chronic","List with criteria/condition",Complete,"Aug 22, 2013","Jun 18, 2014"
PC0283-000,Gavreto,pralsetinib,"RET fusion-positive non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 9, 2022","Sep 29, 2022"
PC0126-000,Gazyva,Obinutuzumab,"Follicular Lymphoma (previously untreated)","Do not reimburse",Complete,,"Nov 1, 2018"
PC0041-000,Gazyva,Obinutuzumab,"Chronic Lymphocytic Leukemia",Reimburse,Complete,,"Jan 27, 2015"
SR0891-000,Gazyva,obinutuzumab,"Lupus nephritis",,Active,"Sep 16, 2025",
PC0091-000,Gazyva,Obinutuzumab,"Follicular Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,,"Jun 2, 2017"
SR0260-000,Gelnique,"Oxybutynin Chloride Gel","Overactive bladder","Do not list",Complete,"Oct 25, 2011","May 24, 2012"
SR0332-000,Genotropin,Somatropin,"Growth hormone deficiency, adult","List with criteria/condition",Complete,"May 27, 2013","Dec 20, 2013"
SR0333-000,Genotropin,Somatropin,"Growth hormone deficiency, children","List with criteria/condition",Complete,"May 27, 2013","Dec 20, 2013"
SR0334-000,Genotropin,Somatropin,"Turner Syndrome","List with criteria/condition",Complete,"May 27, 2013","Dec 20, 2013"
SR0449-000,Genvoya,"Elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide","HIV infection",List,Complete,"Sep 24, 2015","Mar 18, 2016"
SR0228-000,Gilenya,Fingolimod,"Multiple Sclerosis, relapsing-remitting","List with clinical criteria and/or conditions",Complete,"May 10, 2011","Nov 16, 2011"
PC0032-000,Giotrif,Afatinib,"Advanced or Metastatic Non-Small Cell Lung Cancer",Reimburse,Complete,,"May 2, 2014"
SR0679-000,Givlaari,givosiran,"Acute hepatic porphyria (AHP) in adults","Reimburse with clinical criteria and/or conditions",Complete,"Feb 23, 2021","Sep 8, 2021"
SE0510-000,Glatect,"Glatiramer acetate","Relapsing Remitting Multiple Sclerosis (RRMS)","Reimburse with clinical criteria and/or conditions",Complete,"Jan 20, 2017","Jul 25, 2017"
SR0352-000,Grastek,"Phleum pratense","Allergic rhinitis","Do not list",Complete,"Sep 30, 2013","Sep 24, 2014"
SE0446-000,Grastofil,Filgrastim,Neutropenia,"List with clinical criteria and/or conditions",Complete,"Sep 11, 2015","Mar 18, 2016"
SR0017-000,Gynazole.1,"Butoconazole nitrate","Vaginal infection","Do not list",Complete,"Jun 30, 2004","Jan 26, 2005"
PC0005-000,Halaven,"Eribulin Mesylate","Metastatic Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Aug 2, 2012"
SF0465-000,Harvoni,"ledipasvir, sofosbuvir","Hepatitis C, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Jan 6, 2016","May 18, 2016"
SR0395-000,Harvoni,"Ledipasvir / Sofosbuvir","Hepatitis C, chronic","List with criteria/condition",Complete,"Sep 15, 2014","Mar 18, 2015"
SR0411-000,Hemangiol,Propranolol,"Infantile hemangioma",,Withdrawn,"Dec 23, 2014",
SR0496-000,Hemangiol,"Propranolol oral solution","Infantile hemangioma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 25, 2016","Feb 21, 2017"
SG0805-000,Hemgenix,"etranacogene dezaparvovec","Hemophilia B","Reimburse with clinical criteria and/or conditions",Complete,"Oct 4, 2023","Apr 19, 2024"
ST0651-000,Hemlibra,emicizumab,"Bleeding prevention, hemophilia A","Reimburse with clinical criteria and/or conditions",Complete,"Jun 30, 2020","Dec 21, 2020"
SR0881-000,Hepcludex,bulevirtide,"chronic hepatitis delta virus (HDV) infection","Reimburse with clinical criteria and/or conditions",Active,"Apr 9, 2025","Dec 22, 2025"
SF0103-000,Hepsera,"Adefovir dipivoxil","Hepatitis B","List with clinical criteria and/or conditions",Complete,"Jun 29, 2007","Oct 18, 2007"
SR0060-000,Hepsera,"Adefovir dipivoxil","Hepatitis B","Do not list",Complete,"Apr 24, 2006","Nov 29, 2006"
SF0466-000,"Holkira Pak","ombitasvir/paritaprevir/ritonavir and dasabuvir","Hepatitis C, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Jan 6, 2016","May 19, 2016"
SR0406-000,"Holkira Pak","Ombitasvir/paritaprevir/ritonavir and dasabuvir","Hepatitis C, chronic","List with clinical criteria and/or conditions",Complete,"Dec 3, 2014","Jun 18, 2015"
SR0308-000,Humira,Adalimumab,"Arthritis, juvenile idiopathic","List with clinical criteria and/or conditions",Complete,"Feb 4, 2013","Jul 18, 2013"
SR0105-000,Humira,Adalimumab,"Crohn's disease","List with clinical criteria and/or conditions",Complete,"Jul 12, 2007","Dec 19, 2007"
SR0130-000,Humira,Adalimumab,Psoriasis,"List with clinical criteria and/or conditions",Complete,"Apr 15, 2008","Oct 16, 2008"
SR0066-000,Humira,Adalimumab,"Arthritis, Psoriatic","List with clinical criteria and/or conditions",Complete,"Jun 21, 2006","Nov 29, 2006"
SR0087-000,Humira,Adalimumab,"Ankylosing spondylitis (AS)","List with clinical criteria and/or conditions",Complete,"Nov 17, 2006","Jun 27, 2007"
SR0022-000,Humira,Adalimumab,"Arthritis, Rheumatoid","List with clinical criteria and/or conditions",Complete,"Sep 24, 2004","Feb 11, 2005"
SR0455-000,Humira,Adalimumab,"Hidradenitis suppurativa","Reimburse with clinical criteria and/or conditions",Complete,"Nov 3, 2015","May 19, 2016"
SR0450-000,Humira,Adalimumab,"Ulcerative colitis","Do not list at the submitted price",Complete,"Sep 25, 2015","Apr 15, 2016"
SR0365-000,Humira,Adalimumab,"ulcerative colitis",,Withdrawn,"Dec 23, 2013",
ST0695-000,HyQvia,"immune globulin human and recombinant human hyaluronidase","Humoral immunodeficiency","Reimburse with clinical criteria and/or conditions",Complete,"Jun 24, 2021","Jun 15, 2022"
PC0068-000,Ibrance,Palbociclib,,,Withdrawn,,
PC0150-000,"Ibrance (with Faslodex)","Palbociclib (with Fulvestrant)","Palbociclib (Ibrance) in combination with fulvestrant for hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,,"May 3, 2019"
PC0093-000,"Ibrance Resubmission",Palbociclib,"Advanced breast cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 21, 2016"
"PC0056 -000",Iclusig,Ponatinib,"Chronic Myeloid Leukemia/ Acute Lymphoblastic Leukemia","Reimburse with clinical criteria and/or conditions",Complete,,"Oct 1, 2015"
PC0144-000,Idhifa,Enasidenib,"Acute myeloid leukemia (AML)","Do not reimburse",Complete,,"Oct 31, 2019"
SR0518-000,Ikervis,cyclosporine,"keratitis, severe",,Withdrawn,"May 15, 2017",
SR0204-000,Ilaris,Canakinumab,"Cryopyrin-Associated Periodic Syndrome","Do not list",Complete,"Jul 7, 2010","Jan 26, 2011"
SR0463-000,Ilaris,Canakinumab,"Systemic Juvenile Idiopathic Arthritis","Reimburse with clinical criteria and/or conditions",Complete,"Dec 23, 2015","Jun 17, 2016"
SR0624-000,Ilumya,tildrakizumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Jul 15, 2019","Jun 21, 2021"
SR0608-000,Iluvien,"fluocinolone acetonide intravitreal implant","diabetic macular edema","Do not reimburse",Complete,"Apr 3, 2019","Sep 26, 2019"
SR0549-000,Iluvien,"fluocinolone acetonide","Diabetic macular edema (DME)",,Withdrawn,"Dec 21, 2017",
SR0905-000,Imaavy,nipocalimab,"Generalized myasthenia gravis (gMG)",,Active,"Sep 3, 2025",
NS0005-000,Imbruvica,ibrutinib,Leukemia,"Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
NS0009-000,Imbruvica,ibrutinib,"Chronic graft versus host disease","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
PC0317-000,Imbruvica,ibrutinib,"Chronic lymphocytic leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 21, 2023","Nov 2, 2023"
PC0043-000,Imbruvica,Ibrutinib,"Chronic Lymphocytic Leukemia/ Small Lymphocytic Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 5, 2015"
NS0004-000,Imbruvica,ibrutinib,Leukemia,"Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
PC0085-000,Imbruvica,Ibrutinib,"Chronic Lymphocytic Leukemia (previously untreated)","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 3, 2016"
PC0073-000,Imbruvica,Ibrutinib,"Mantle Cell Lymphoma (relapsed/refractory)","Reimburse with clinical criteria and/or conditions",Complete,,"Jul 19, 2016"
PC0082-000,Imbruvica,Ibrutinib,"Waldenstrom's Macroglobulinemia","Do not reimburse",Complete,,"Nov 3, 2016"
PC0328-000,Imbruvica,ibrutinib,"Waldenström’s Macroglobulinemia","Reimburse with clinical criteria and/or conditions",Complete,"Jun 20, 2023","Jan 5, 2024"
SR0769-000,Imcivree,setmelanotide,"Bardet-Biedl syndrome","Reimburse with clinical criteria and/or conditions",Complete,"Mar 7, 2023","Oct 16, 2023"
NS0041-000,Imcivree,setmelanotide,"Weight management for pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0927-000,Imcivree,setmelanotide,"Hypothalamic obesity (aHO)",,Active,"Apr 1, 2026",
PC0454-000,Imdelltra,tarlatamab,"Small cell lung cancer (SCLC)",,Active,"Mar 19, 2026",
PC0351-000,Imdelltra,tarlatamab,"Extensive stage small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Aug 14, 2024","Feb 28, 2025"
PC0296-000,Imfinzi,durvalumab,"Biliary tract cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jul 14, 2022","Feb 3, 2023"
PC0131-000,Imfinzi,Durvalumab,"Unresectable Non-Small Cell Lung Cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,,"May 3, 2019"
PC0427-000,Imfinzi,durvalumab,"Gastric or gastroesophageal junction adenocarcinoma",,Active,"Sep 17, 2025",
PC0234-000,Imfinzi,durvalumab,"Extensive-stage small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Dec 1, 2020","Jul 9, 2021"
PC0389-000,Imfinzi,durvalumab,"limited-stage small cell lung cancer (LS-SCLC)","Reimburse with clinical criteria and/or conditions",Complete,"Nov 15, 2024","Aug 11, 2025"
PC0372-000,Imfinzi,durvalumab,"resectable non-small cell lung cancer (NSCLC)",,Active,"Aug 13, 2024",
PC0414-000,Imfinzi,durvalumab,"Muscle invasive bladder cancer","Reimburse with clinical criteria and/or conditions",Active,"Jun 17, 2025","Jan 7, 2026"
PC0366-000,Imfinzi,"durvalumab, carboplatin, paclitaxel","Endometrial cancer that is mismatch repair deficient (dMMR)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2024","May 5, 2025"
PC0308-000,"Imfinzi and Imjudo","durvalumab and tremelimumab","unresectable hepatocellular carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 15, 2022","Nov 3, 2023"
PC0390-000,"Imfinzi, Imjudo","durvalumab, tremelimumab","Metastatic non-small cell lung cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 17, 2024","May 30, 2025"
PC0366-001,"Imfinzi, Lynparza","durvalumab, olaparib, carboplatin, paclitaxel","Endometrial cancer that is mismatch repair proficient (pMMR)",,Withdrawn,"Oct 16, 2024",
SR0694-000,Imvexxy,estradiol,Dyspareunia,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 23, 2021","Jan 20, 2022"
SF0305-000,Incivek,Telaprevir,"Hepatitis C, chronic","List with criteria/condition",Complete,"Dec 21, 2012","Jun 13, 2013"
SF0311-000,Incivek,Telaprevir,"Hepatitis C, chronic","List with criteria/condition",Complete,"Feb 19, 2013","Jun 13, 2013"
SR0249-000,Incivek,Telaprevir,"Hepatitis C, chronic","List with clinical criteria and/or conditions",Complete,"Aug 23, 2011","Feb 15, 2012"
SR0692-000,Increlex,mecasermin,"Severe primary insulin-like growth factor-1 deficiency","Reimburse with clinical criteria and/or conditions",Complete,"Jun 14, 2021","Jan 21, 2022"
SR0422-000,"Incruse Ellipta",Umeclidinium,"Chronic obstructive pulmonary disease","List with criteria/condition",Complete,"Mar 4, 2015","Sep 18, 2015"
SE0384-000,Inflectra,Infliximab,"Ankylosing spondylitis; arthritis, psoriatic; arthritis, rheumatoid; plaque psoriasis","List with criteria/condition",Complete,"Jun 17, 2014","Dec 19, 2014"
SE0483-000,"Inflectra (Subsequent Entry Biologic)",Infliximab,"Crohn’s disease and Ulcerative Colitis","Reimburse with clinical criteria and/or conditions",Complete,"Apr 12, 2016","Oct 25, 2016"
PC0013-000,Inlyta,Axitinib,"Metastatic Renal Cell Carcinoma",Reimburse,Complete,,"Mar 7, 2013"
PA0001-000,"Inlyta (RFA)",Axitinib,"Metastatic Renal Cell Carcinoma",N/A,Complete,,"Jun 29, 2017"
PC0228-000,Inqovi,Decitabine-Cedazuridine,"Myelodysplastic Syndromes (MDS)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 9, 2020","Sep 22, 2021"
PC0205-000,Inrebic,fedratinib,Myelofibrosis,"Reimburse with clinical criteria and/or conditions",Complete,"Nov 5, 2020","Jun 2, 2021"
SR0436-000,"Inspiolto Respimat","Tiotropium / olodaterol","Chronic obstructive pulmonary disease","List with criteria/condition",Complete,"Jun 4, 2015","Dec 17, 2015"
SR0165-000,Inspra,Eplerenone,"Post myocardial infarction","Do not list",Complete,"May 6, 2009","Nov 25, 2009"
SR0342-000,Inspra,Eplerenone,"Heart failure, NYHA class II","Do not list at the submitted price",Complete,"Jul 12, 2013","Apr 24, 2014"
SR0129-000,Intelence,Etravirine,HIV,"List with clinical criteria and/or conditions",Complete,"Apr 2, 2008","Aug 14, 2008"
SR0707-000,Intrarosa,prasterone,"Postmenopausal vulvovaginal atrophy","Reimburse with clinical criteria and/or conditions",Complete,"Oct 1, 2021","Apr 14, 2022"
SR0349-000,"Intuniv XR","Guanfacine hydrochloride","Attention-deficit/hyperactivity disorder (ADHD)","Do not list",Complete,"Aug 27, 2013","Sep 24, 2014"
SR0112-000,Invega,Paliperidone,Schizophrenia,"Do not list",Complete,"Nov 1, 2007","May 28, 2008"
SR0206-000,"Invega Sustenna","Paliperidone palmitate",Schizophrenia,"Do not list",Complete,"Jul 9, 2010","Apr 25, 2011"
SR0480-000,Invokamet,"Canagliflozin and metformin hydrochloride","diabetes mellitus, type 2","Reimburse with clinical criteria and/or conditions",Complete,"Mar 3, 2016","Aug 25, 2016"
SR0335-000,Invokana,Canagliflozin,"Diabetes Mellitus, Type 2",,Withdrawn,"Jun 5, 2013",
SR0370-000,Invokana,Canagliflozin,"Diabetes mellitus, type 2","List with criteria/condition",Complete,"Feb 24, 2014","Jan 15, 2015"
SR0865-000,Iqirvo,elafibranor,"Primary biliary cholangitis (PBC)","Reimburse with clinical criteria and/or conditions",Complete,"Nov 27, 2024","Jun 18, 2025"
SR0003-000,Iressa,Gefitinib,"Cancer, Lung , non-small cell","Do not list",Complete,"Dec 22, 2003","Jun 23, 2004"
SR0115-000,Isentress,Raltegravir,HIV,"List with clinical criteria and/or conditions",Complete,"Nov 29, 2007","May 14, 2008"
SR0191-000,Isentress,Raltegravir,"HIV (treatment naïve)","Do not list",Complete,"Dec 4, 2009","Jun 23, 2010"
PC0048-000,Istodax,Romidepsin,"Peripheral T-Cell Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,,"May 19, 2015"
SR0804-000,Isturisa,osilodrostat,"Cushing’s disease","Reimburse with clinical criteria and/or conditions",Active,"Oct 16, 2023","Jan 26, 2026"
PC0382-000,Itovebi,inavolisib,"Advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 19, 2025","Nov 27, 2025"
SR0516-000,Izba,"travoprost ophthalmic solution","Glaucoma and ocular hypertension","Reimburse with clinical criteria and/or conditions",Complete,"Mar 1, 2017","Oct 25, 2017"
SR0897-000,Izervay,"avacincaptad pegol","Geographic atrophy (GA)",,,"Aug 20, 2025",
SR0706-000,Jakavi,ruxolitinib,"Graft versus host disease","Reimburse with clinical criteria and/or conditions",Complete,"Aug 10, 2021","Jul 15, 2022"
SR0688-000,Jakavi,ruxolitinib,"Graft versus host disease","Reimburse with clinical criteria and/or conditions",Complete,"Aug 10, 2021","Sep 15, 2022"
PC0012-000,Jakavi,Ruxolitinib,Myelofibrosis,"Reimburse with clinical criteria and/or conditions",Complete,,"Jan 14, 2013"
PC0065-000,Jakavi,Ruxolitinib,"Polycythemia vera","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 3, 2016"
SR0182-000,Janumet,"Sitagliptin phosphate monohydrate / metformin hydrochloride","Diabetes mellitus (Type 2)","List with clinical criteria and/or conditions",Complete,"Nov 4, 2009","Jun 23, 2010"
SR0122-000,Januvia,"Sitagliptin phosphate","Diabetes mellitus (Type 2)","Do not list",Complete,"Dec 20, 2007","Jun 18, 2008"
SR0181-000,Januvia,"Sitagliptin phosphate","Diabetes mellitus (Type 2)","List with clinical criteria and/or conditions",Complete,"Oct 29, 2009","Jun 23, 2010"
NS0040-000,Jardiance,empagliflozin,"Chronic kidney disease","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
